Timestamp,Alter in Jahren:,Geschlecht,Beziehung Status.,Berufsstand:,Anzahl der Personen in Ihrem Haushalt:,Wie gestresst sind Sie im Alltag außerhalb Ihrer Arbeitszeit?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?,Können Sie sich vorstellen in einer ähnlichen Situation wie Person A im oberen Szenario zu sein?,Wollen Sie den angebotenen Service nutzen?,Wie viel wollen Sie maximal für die Erledigung der Aufgabe pro Stunde in Euro bezahlen?
6/6/2019 17:01:00,26,Weiblich,In einer Beziehung,Angestellt,2,2,Ja,Ja,15,Nein,Nein,,Ja,Ja,50,Ja,Ja,12,Nein,Nein,
6/6/2019 23:24:07,,Weiblich,,Angestellt,,5,Ja,Ja,9,Nein,Nein,,Ja,Ja,8,Ja,Ja,12,Ja,Ja,7
6/8/2019 16:14:23,32,Männlich,Ledig,Angestellt,2,3,Ja,Ja,12,Ja,Ja,10,Ja,Ja,15,Nein,Ja,15,Ja,Ja,15
6/8/2019 16:18:38,56,Weiblich,Verheiratet,Angestellt,2,3,Ja,Ja,20,Ja,Ja,10,Ja,Ja,10,Ja,Ja,12,Ja,Ja,6
6/8/2019 16:19:32,27,Männlich,In einer Beziehung,Angestellt,2,2,Ja,Nein,,Ja,Ja,15,Nein,Nein,,Nein,Nein,,Nein,Nein,
6/8/2019 16:23:40,23,Weiblich,In einer Beziehung,Angestellt,3,3,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Ja,Ja,12,Ja,Ja,9
6/8/2019 16:24:26,24,Weiblich,In einer Beziehung,Angestellt,2,4,Ja,Nein,,Nein,Nein,,Ja,Ja,10,Ja,Ja,15,Ja,Nein,
6/8/2019 16:27:02,26,Männlich,Ledig,Angestellt,1,6,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Ja,Ja,10,Nein,Nein,
6/8/2019 16:27:19,25,Weiblich,In einer Beziehung,Angestellt,2,2,Ja,Ja,5,Nein,Nein,,Ja,Ja,5,Ja,Ja,15,Ja,Nein,
6/8/2019 16:31:32,23,Weiblich,Ledig,Angestellt,4,2,Ja,Ja,10,Ja,Ja,10,Nein,Nein,,Ja,Ja,10,Nein,Nein,
6/8/2019 16:36:42,31,Weiblich,In einer Beziehung,Angestellt,2,2,Ja,Nein,,Nein,Nein,,Nein,Nein,,Nein,Ja,12,Ja,Ja,12
6/8/2019 16:46:28,30,Männlich,Ledig,Angestellt,3,2,Nein,Nein,,Ja,Ja,5,Nein,Nein,,Nein,Nein,,Nein,Nein,
6/8/2019 17:06:01,48,Männlich,Ledig,Angestellt,1,5,Ja,Ja,5,Ja,Ja,5,Ja,Ja,5,Ja,Ja,5,Ja,Ja,5
6/8/2019 18:12:24,53,Männlich,Verheiratet,Angestellt,2,2,Ja,Ja,15,Ja,Ja,10,Nein,Nein,,Ja,Ja,20,Ja,Ja,10
6/8/2019 18:30:03,30,Weiblich,In einer Beziehung,Angestellt,2,4,Ja,Ja,5,Ja,Ja,10,Ja,Ja,15,Ja,Nein,,Nein,Nein,
6/8/2019 18:44:10,29,Weiblich,Verheiratet,Angestellt,2,3,Ja,Nein,,Ja,Nein,,Ja,Nein,,Ja,Ja,15,Ja,Nein,
6/8/2019 22:16:51,56,Weiblich,Verheiratet,Angestellt,2,2,Nein,Nein,,Ja,Ja,10,Ja,Ja,10,Ja,Ja,15,Ja,Ja,10
6/8/2019 22:55:44,50,Weiblich,Verheiratet,Angestellt,4,3,Nein,Nein,,Ja,Ja,10,Nein,Nein,,Ja,Ja,10,Nein,Nein,
6/8/2019 23:32:50,43,Weiblich,In einer Beziehung,Angestellt,1,4,Nein,Nein,,Ja,Ja,8,Nein,Nein,,Ja,Ja,10,Nein,Nein,
6/8/2019 23:44:49,55,Weiblich,Geschieden,Angestellt,2,2,Nein,Ja,5,Nein,Nein,,Ja,Ja,5,Ja,Ja,10,Nein,Nein,
6/8/2019 23:46:06,50,Weiblich,Verheiratet,Angestellt,3,2,Ja,Ja,8,Ja,Ja,5,Ja,Ja,6,Ja,Ja,15,Nein,Nein,
6/9/2019 19:56:12,63,Männlich,Verheiratet,Angestellt,2,2,Ja,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,10,Nein,Nein,
6/9/2019 22:27:30,31,Weiblich,Verheiratet,Arbeitslos,4,6,Ja,Ja,6,Ja,Ja,6,Ja,Ja,6,Ja,Ja,8,Ja,Ja,6
6/10/2019 7:19:05,32,Männlich,Verheiratet,Angestellt,3,6,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Ja,Ja,8,Nein,Nein,
6/10/2019 7:43:27,26,Weiblich,In einer Beziehung,Angestellt,2,5,Ja,Nein,,Ja,Nein,,Ja,Nein,,Ja,Ja,14,Ja,Nein,
6/10/2019 8:01:32,26,Männlich,In einer Beziehung,Angestellt,1,2,Ja,Ja,10,Ja,Nein,,Ja,Nein,,Ja,Ja,15,Nein,Ja,6
6/10/2019 10:30:16,23,Weiblich,In einer Beziehung,Angestellt,3,2,Nein,Nein,,Ja,Ja,10,Ja,Ja,10,Ja,Ja,15,Nein,Nein,
6/10/2019 11:14:04,26,Männlich,In einer Beziehung,Angestellt,2,1,Ja,Ja,10,Nein,Nein,,Ja,Ja,10,Ja,Ja,10,Ja,Nein,
6/10/2019 14:31:56,60,Weiblich,Verwitwet,Rentnerin,2,3,Ja,Ja,15,Ja,Ja,10,Nein,Nein,,Ja,Ja,15,Ja,Ja,10
6/10/2019 15:09:29,24,Männlich,In einer Beziehung,Angestellt,1,5,Ja,Ja,15,Nein,Nein,,Ja,Ja,15,Ja,Ja,15,Ja,Nein,
6/10/2019 19:04:55,52,Weiblich,Verheiratet,Angestellt,3,5,Ja,Nein,,Ja,Ja,10,Ja,Nein,,Ja,Nein,,Ja,Nein,
6/10/2019 19:34:16,64,Weiblich,Verheiratet,Angestellt,2,2,Ja,Ja,10,Ja,Ja,8,Nein,Nein,,Ja,Ja,10,Ja,Ja,7.5
6/10/2019 19:52:25,50,Männlich,Ledig,Angestellt,1,4,Ja,Nein,,Ja,Ja,15,Ja,Ja,10,Nein,Nein,,Ja,Ja,10
6/10/2019 20:05:30,24,Männlich,In einer Beziehung,Angestellt,2,3,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,15,Nein,Ja,8
6/10/2019 21:17:01,40,Männlich,Ledig,Angestellt,1,5,Nein,Nein,,Ja,Ja,12,Ja,Ja,30,Nein,Nein,,Nein,Nein,
6/11/2019 10:51:11,28,Männlich,In einer Beziehung,Angestellt,2,2,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,10,Ja,Ja,10
6/11/2019 11:02:52,37,Weiblich,Verheiratet,Angestellt,3,3,Nein,Nein,,Ja,Ja,12,Ja,Ja,12,Ja,Ja,15,Ja,Ja,12
6/11/2019 11:08:38,40,Weiblich,In einer Beziehung,Angestellt,2,2,Ja,Ja,12,Ja,Ja,12,Ja,Ja,12,Ja,Ja,12,Ja,Ja,12
6/11/2019 12:37:10,37,Weiblich,Verheiratet,Angestellt,4,5,Ja,Ja,10,Ja,Ja,15,Ja,Ja,10,Ja,Ja,13,Ja,Ja,10
6/11/2019 13:46:50,43,Weiblich,In einer Beziehung,Angestellt,2,3,Nein,Nein,,Ja,Ja,15,Nein,Nein,,Nein,Ja,20,Nein,Nein,
6/11/2019 14:20:26,29,Männlich,In einer Beziehung,Angestellt,2,2,Ja,Ja,12,Ja,Nein,,Ja,Nein,,Ja,Ja,15,Ja,Nein,
6/11/2019 16:50:12,33,Männlich,In einer Beziehung,Angestellt,1,2,Ja,Ja,10,Ja,Nein,,Ja,Ja,10,Ja,Ja,15,Ja,Nein,
6/12/2019 12:57:30,38,Männlich,Verheiratet,Angestellt,4,5,Nein,Nein,,Ja,Ja,10,Nein,Nein,,Nein,Nein,,Nein,Nein,
6/12/2019 14:52:55,38,Männlich,Verheiratet,Angestellt,4,5,Ja,Ja,15,Ja,Nein,,Ja,Ja,10,Ja,Ja,18,Ja,Nein,
6/12/2019 15:43:31,46,Männlich,Verheiratet,Angestellt,4,,Nein,Nein,,Nein,Nein,,Nein,Nein,,Nein,Nein,,Ja,Ja,3
6/12/2019 20:17:48,44,Männlich,In einer Beziehung,Selbständig,1,4,Ja,Ja,10,Ja,Ja,10,Ja,Ja,12,Ja,Ja,10,Ja,Ja,9
6/12/2019 20:19:46,57,Weiblich,Geschieden ,Angestellt,1,2,Ja,Nein,,Ja,Ja,5,Ja,Nein,,Ja,Ja,7,Ja,Ja,5
6/12/2019 21:44:34,42,Männlich,Ledig,Angestellt,1,4,Ja,Nein,,Ja,Nein,,Ja,Nein,,Ja,Ja,10,Ja,Nein,
6/13/2019 22:52:28,26,Männlich,Ledig,Angestellt,1,1,Ja,Ja,15,Ja,Nein,,Ja,Nein,,Ja,Ja,20,Nein,Nein,
6/13/2019 22:52:36,26,Männlich,Ledig,Angestellt,1,1,Ja,Ja,15,Ja,Nein,,Ja,Nein,,Ja,Ja,20,Nein,Nein,